dataset,rel_rs,rs,fold,N1,N2,F1,F2
ecoli,0,0,0,0.5166989398947873,0.5428571428571428,0.3866810325461302,0.4291044776119403
ecoli,0,0,1,0.4996273666259499,0.4642857142857143,0.4006292530802546,0.44609665427509293
ecoli,0,0,2,0.49828361596738063,0.4357142857142857,0.38151115766101884,0.483271375464684
ecoli,0,0,3,0.5034494500090956,0.4857142857142857,0.332436306061931,0.2899628252788104
ecoli,0,0,4,0.48995562582810115,0.4785714285714286,0.3901999809317922,0.45353159851301117
ecoli,1,1,0,0.528327146908782,0.5357142857142857,0.407656150947319,0.47388059701492535
ecoli,1,1,1,0.5124872440305512,0.4857142857142857,0.37903228681352646,0.4684014869888476
ecoli,1,1,2,0.48021669872972333,0.44285714285714284,0.3399423220432841,0.2788104089219331
ecoli,1,1,3,0.5053781985189586,0.45714285714285713,0.3934255901231619,0.4684014869888476
ecoli,1,1,4,0.48010257535355916,0.4785714285714286,0.38449262970927406,0.45724907063197023
ecoli,2,4,0,0.515226506485269,0.5,0.38706092187391,0.43656716417910446
ecoli,2,4,1,0.5204021295527799,0.5285714285714286,0.3933844977045261,0.4646840148698885
ecoli,2,4,2,0.46792319792387704,0.42857142857142855,0.39196549501603045,0.4349442379182156
ecoli,2,4,3,0.5091850675834724,0.4857142857142857,0.40060679409068156,0.4684014869888476
ecoli,2,4,4,0.4956353657795307,0.5071428571428571,0.32338775380869755,0.2862453531598513
ecoli,3,18,0,0.5060334866981845,0.5285714285714286,0.368508451639854,0.31343283582089554
ecoli,3,18,1,0.5193116144527073,0.5285714285714286,0.38583783006040506,0.4163568773234201
ecoli,3,18,2,0.5098111426717911,0.4857142857142857,0.4050345018342391,0.4758364312267658
ecoli,3,18,3,0.5003916302305113,0.4357142857142857,0.35552107849295456,0.44609665427509293
ecoli,3,18,4,0.4830648823180448,0.4857142857142857,0.36487618789565474,0.4349442379182156
ecoli,4,19,0,0.5158356912851461,0.5785714285714286,0.36868689804477633,0.31716417910447764
ecoli,4,19,1,0.4930828051947602,0.44285714285714284,0.40095446306955934,0.4200743494423792
ecoli,4,19,2,0.5312568034781642,0.5714285714285714,0.3921548329633163,0.46096654275092935
ecoli,4,19,3,0.5006291048409618,0.45,0.3800817366822176,0.4646840148698885
