dataset,rel_rs,rs,fold,N1,N2,F1,F2
glass,0,0,0,0.529779678203117,0.5714285714285714,0.463274917247938,0.14705882352941177
glass,0,0,1,0.5144457715169471,0.5714285714285714,0.5184154559315497,0.12941176470588237
glass,0,0,2,0.5283611871445939,0.6,0.5177184774410905,0.12941176470588237
glass,0,0,3,0.5041424318587499,0.575,0.46947202060507154,0.16374269005847952
glass,0,0,4,0.5143669957496425,0.5428571428571428,0.4101873465334472,0.13450292397660818
glass,1,1,0,0.5064794284383117,0.5428571428571428,0.5401646988539944,0.1411764705882353
glass,1,1,1,0.5268385051889151,0.6,0.47917977202050827,0.13529411764705881
glass,1,1,2,0.4761987753064518,0.4,0.4749500942335439,0.14705882352941177
glass,1,1,3,0.5110263386053713,0.575,0.43709326371293394,0.1286549707602339
glass,1,1,4,0.54074399400991,0.7142857142857143,0.4559893550081803,0.15204678362573099
glass,2,4,0,0.5315305806506714,0.6,0.4642964624383654,0.1411764705882353
glass,2,4,1,0.5213974121983007,0.6,0.45332356693700215,0.13529411764705881
glass,2,4,2,0.5088638862724276,0.5428571428571428,0.5051396785055586,0.13529411764705881
glass,2,4,3,0.5043256149818032,0.575,0.46437023267722755,0.15204678362573099
glass,2,4,4,0.5183737384458905,0.6,0.4839842923958072,0.14035087719298245
glass,3,18,0,0.5152761978115401,0.5714285714285714,0.5213058436653532,0.1411764705882353
glass,3,18,1,0.5016822825115833,0.4857142857142857,0.4164231900801115,0.13529411764705881
glass,3,18,2,0.5199733393908775,0.5428571428571428,0.49056936430951475,0.1411764705882353
glass,3,18,3,0.5098743832795842,0.525,0.5123246420921842,0.13450292397660818
glass,3,18,4,0.5332676159543114,0.6571428571428571,0.43613995315545806,0.15204678362573099
glass,4,19,0,0.5233640458269926,0.6,0.4235754648812332,0.13529411764705881
glass,4,19,1,0.5517568648747081,0.6857142857142857,0.5166026764329121,0.13529411764705881
glass,4,19,2,0.5206423921286953,0.5428571428571428,0.42263247847447355,0.13529411764705881
glass,4,19,3,0.4733092326444488,0.375,0.5089486831193304,0.15204678362573099
glass,4,19,4,0.5191444441546653,0.5714285714285714,0.4964568967690628,0.14619883040935672
glass,5,20,0,0.5188066058739168,0.5714285714285714,0.41054171836649744,0.13529411764705881
glass,5,20,1,0.5374061574698743,0.6571428571428571,0.4736681439542772,0.14705882352941177
glass,5,20,2,0.5457249053901853,0.7428571428571429,0.5008248369166038,0.1411764705882353
glass,5,20,3,0.4819175874828343,0.45,0.4940293742505213,0.1286549707602339
glass,5,20,4,0.4933334878244107,0.42857142857142855,0.49957694650398304,0.15204678362573099
glass,6,23,0,0.508140282541646,0.5142857142857142,0.5110899804644158,0.1411764705882353
glass,6,23,1,0.5373292759808151,0.6857142857142857,0.42837061900097934,0.15294117647058825
glass,6,23,2,0.47981868678212164,0.42857142857142855,0.360868971780394,0.1411764705882353
glass,6,23,3,0.5127586405694676,0.575,0.477190308016702,0.14035087719298245
glass,6,23,4,0.5250012006697018,0.6285714285714286,0.5299565113737253,0.1286549707602339
glass,7,26,0,0.5544424830696204,0.7428571428571429,0.5224518153936049,0.13529411764705881
glass,7,26,1,0.5060102118241036,0.4857142857142857,0.47535772240560187,0.1411764705882353
glass,7,26,2,0.5313142425246544,0.6285714285714286,0.49638171835894684,0.14705882352941177
glass,7,26,3,0.48300052168208607,0.475,0.5012273981230093,0.14619883040935672
glass,7,26,4,0.5045971803366971,0.5142857142857142,0.3635311858946103,0.13450292397660818
glass,8,30,0,0.510081023047132,0.5428571428571428,0.546320936219928,0.1588235294117647
glass,8,30,1,0.5416607798512201,0.6857142857142857,0.44771914704978605,0.14705882352941177
glass,8,30,2,0.4778332227723856,0.45714285714285713,0.46572712867821514,0.14705882352941177
glass,8,30,3,0.5015078949035926,0.575,0.45341783656442464,0.1286549707602339
glass,8,30,4,0.5291977704919348,0.6285714285714286,0.4751305833281008,0.12280701754385964
glass,9,31,0,0.5132682784194155,0.6,0.5358010575692767,0.13529411764705881
glass,9,31,1,0.5238367570003832,0.5714285714285714,0.4451919737589876,0.15294117647058825
glass,9,31,2,0.519895907436508,0.5428571428571428,0.47515658177977294,0.12352941176470589
glass,9,31,3,0.49033995032551514,0.475,0.48255548217693084,0.15204678362573099
glass,9,31,4,0.537793926267542,0.6571428571428571,0.4560151277824225,0.14035087719298245
glass,10,32,0,0.5083756129509285,0.5714285714285714,0.4083900928067573,0.1411764705882353
glass,10,32,1,0.5340389099998152,0.6,0.4590344984665564,0.13529411764705881
glass,10,32,2,0.537807813489922,0.6857142857142857,0.5073299462524272,0.13529411764705881
glass,10,32,3,0.5137580721977786,0.55,0.4990419816828429,0.14035087719298245
glass,10,32,4,0.4796752132007608,0.4,0.5073369739729875,0.15204678362573099
glass,11,38,0,0.5447413222511417,0.6857142857142857,0.5172566791286219,0.15294117647058825
glass,11,38,1,0.5312630218426168,0.6,0.49489340181876984,0.13529411764705881
glass,11,38,2,0.5024572578704607,0.5142857142857142,0.45076104716099724,0.12352941176470589
glass,11,38,3,0.48772818399129475,0.45,0.4373404804666581,0.14619883040935672
glass,11,38,4,0.5120629868473544,0.5714285714285714,0.4750295422812199,0.14619883040935672
glass,12,39,0,0.5346945155423496,0.6857142857142857,0.44460793788858816,0.1411764705882353
glass,12,39,1,0.5296268827646022,0.6,0.49037858422194336,0.13529411764705881
glass,12,39,2,0.5093963986990598,0.5428571428571428,0.4696669317477925,0.1411764705882353
glass,12,39,3,0.4840582108332028,0.5,0.4348190838482939,0.14035087719298245
glass,12,39,4,0.5133344457831635,0.5428571428571428,0.5410728620311585,0.14619883040935672
glass,13,44,0,0.5386940658919728,0.7142857142857143,0.45466881468616926,0.1411764705882353
glass,13,44,1,0.48047929047131216,0.42857142857142855,0.5089118869453167,0.14705882352941177
glass,13,44,2,0.5138051917249687,0.5428571428571428,0.49718012898285274,0.12941176470588237
glass,13,44,3,0.5132042398690065,0.575,0.4960463078825813,0.15204678362573099
glass,13,44,4,0.519046395965244,0.5714285714285714,0.42335701996216946,0.13450292397660818
glass,14,49,0,0.499715682747147,0.42857142857142855,0.5082081065552292,0.1588235294117647
glass,14,49,1,0.512302778734643,0.5142857142857142,0.4190220053917356,0.14705882352941177
glass,14,49,2,0.5318006363687091,0.6,0.5603447257501964,0.15294117647058825
glass,14,49,3,0.5148778693847085,0.575,0.47459150293671964,0.12280701754385964
glass,14,49,4,0.5248735213199206,0.6857142857142857,0.4221035348964369,0.12280701754385964
glass,15,54,0,0.5014655456809042,0.5714285714285714,0.3512933379161856,0.11764705882352941
glass,15,54,1,0.5047094798201514,0.5142857142857142,0.47499532415205337,0.1411764705882353
glass,15,54,2,0.5075934160290236,0.4857142857142857,0.49576593962172333,0.1411764705882353
glass,15,54,3,0.5105174588314236,0.575,0.4816660461413142,0.15204678362573099
glass,15,54,4,0.5485547275528335,0.7142857142857143,0.554830184753738,0.15204678362573099
glass,16,58,0,0.5178342472975103,0.6,0.4282764356360687,0.12352941176470589
glass,16,58,1,0.5470867497455139,0.6857142857142857,0.5432829819802647,0.13529411764705881
glass,16,58,2,0.4771483332334901,0.45714285714285713,0.4537899061147244,0.14705882352941177
glass,16,58,3,0.5193534547990557,0.625,0.48057649121318324,0.14619883040935672
glass,16,58,4,0.49500130409910814,0.4857142857142857,0.3567613856124429,0.15204678362573099
glass,17,59,0,0.5194263076869018,0.5428571428571428,0.4064675838015134,0.14705882352941177
glass,17,59,1,0.487123732550849,0.4,0.45488482930161045,0.12941176470588237
glass,17,59,2,0.5358231374639727,0.7428571428571429,0.47149991224804844,0.12352941176470589
glass,17,59,3,0.5173487330107592,0.575,0.5257952011496511,0.15789473684210525
glass,17,59,4,0.5227455126434126,0.5714285714285714,0.5134304598460571,0.14619883040935672
glass,18,61,0,0.5292098126696161,0.6,0.4823731960015865,0.1411764705882353
glass,18,61,1,0.5110659215389862,0.5428571428571428,0.4692956472280716,0.12352941176470589
glass,18,61,2,0.5223024657006365,0.6,0.5504338663844496,0.14705882352941177
glass,18,61,3,0.5105819410926434,0.575,0.48454955504184816,0.15789473684210525
glass,18,61,4,0.5076614592414547,0.5714285714285714,0.3680984140535817,0.13450292397660818
glass,19,65,0,0.4743414338942552,0.4,0.5062473899185884,0.14705882352941177
glass,19,65,1,0.5326415004399119,0.6571428571428571,0.42978436951162036,0.1411764705882353
glass,19,65,2,0.5260880286545867,0.6,0.47014018521366513,0.12352941176470589
glass,19,65,3,0.5092502553078867,0.575,0.4869628472079732,0.14035087719298245
glass,19,65,4,0.5223361942087652,0.5714285714285714,0.48322670394143646,0.15204678362573099
glass,20,69,0,0.49750858108826185,0.45714285714285713,0.4212052173854187,0.12941176470588237
glass,20,69,1,0.5070696722987067,0.5428571428571428,0.4758113478028297,0.14705882352941177
glass,20,69,2,0.5108167072571395,0.5428571428571428,0.4688402220872961,0.1411764705882353
glass,20,69,3,0.5154088322769842,0.575,0.5082537369924355,0.15204678362573099
glass,20,69,4,0.5486065343869385,0.7142857142857143,0.5069756232305174,0.13450292397660818
glass,21,70,0,0.5485868174198089,0.6857142857142857,0.5315134496060425,0.1411764705882353
glass,21,70,1,0.5037250912615794,0.5142857142857142,0.44871169161114377,0.12941176470588237
glass,21,70,2,0.49371043103233886,0.4,0.4763734275092142,0.12352941176470589
glass,21,70,3,0.5151015001069648,0.575,0.4898362380761374,0.15789473684210525
glass,21,70,4,0.5121746049847424,0.5714285714285714,0.44076422741319016,0.15204678362573099
glass,22,71,0,0.5226802476814327,0.6,0.48352237446533497,0.1411764705882353
glass,22,71,1,0.45727788911055955,0.34285714285714286,0.4390695229043531,0.13529411764705881
glass,22,71,2,0.5266530360958982,0.6571428571428571,0.44779265357497566,0.15294117647058825
glass,22,71,3,0.5146649697461041,0.575,0.5029546134765002,0.15204678362573099
glass,22,71,4,0.5379055196450582,0.6285714285714286,0.5078930778194096,0.12280701754385964
glass,23,74,0,0.522058278305767,0.6571428571428571,0.40930381293808543,0.12352941176470589
glass,23,74,1,0.5494915665543271,0.6857142857142857,0.5154324371458441,0.14705882352941177
glass,23,74,2,0.5038162722749261,0.45714285714285713,0.4617337530640349,0.14705882352941177
glass,23,74,3,0.4811946960710376,0.45,0.5017483678833297,0.14619883040935672
glass,23,74,4,0.5056331634834086,0.5142857142857142,0.5095356998512824,0.14035087719298245
glass,24,76,0,0.532014035821716,0.6,0.46256295080743404,0.1411764705882353
glass,24,76,1,0.5340089312705719,0.6857142857142857,0.4658396245229356,0.1588235294117647
glass,24,76,2,0.4654041279584833,0.34285714285714286,0.4678632998631824,0.1411764705882353
glass,24,76,3,0.507017174394666,0.55,0.46450932062208683,0.12280701754385964
glass,24,76,4,0.5241638311387953,0.6285714285714286,0.5353093903515526,0.14035087719298245
glass,25,82,0,0.5436652765187577,0.6857142857142857,0.5018474827914604,0.1411764705882353
