dataset,rel_rs,rs,fold,N1,N2,F1,F2
ionosphere,0,0,0,0.4924381512674492,0.408,0.6028022594186598,0.8
ionosphere,0,0,1,0.4991595896838357,0.488,0.640531531703857,0.8214285714285714
ionosphere,0,0,2,0.49428867506118995,0.42,0.6148656918890348,0.8071428571428572
ionosphere,0,0,3,0.4959386269510967,0.46,0.6437301489588723,0.8178571428571428
ionosphere,0,0,4,0.49579766094903044,0.452,0.5943853802175267,0.8
ionosphere,1,1,0,0.4942174509442867,0.448,0.6162229420690423,0.8071428571428572
ionosphere,1,1,1,0.4967129246560056,0.46,0.6416490071186162,0.8178571428571428
ionosphere,1,1,2,0.4963748071146387,0.45,0.5729294639946132,0.7964285714285714
ionosphere,1,1,3,0.49602747060368374,0.44,0.6295758088353252,0.8214285714285714
ionosphere,1,1,4,0.4954716126640996,0.432,0.6158559651506267,0.8142857142857143
ionosphere,2,4,0,0.491412197306776,0.396,0.5968692103111313,0.8
ionosphere,2,4,1,0.49454441020527257,0.432,0.6028531715169093,0.8178571428571428
ionosphere,2,4,2,0.494317612987094,0.426,0.6056653746396609,0.8107142857142857
ionosphere,2,4,3,0.5000355012428648,0.506,0.6470629555917038,0.8178571428571428
ionosphere,2,4,4,0.4972515944671317,0.466,0.6308410710500535,0.8107142857142857
ionosphere,3,18,0,0.4953181319638889,0.448,0.6104940697819455,0.8071428571428572
ionosphere,3,18,1,0.4953588441871706,0.434,0.5993278845292014,0.8071428571428572
ionosphere,3,18,2,0.49856616507610046,0.482,0.6300636484487862,0.8142857142857143
ionosphere,3,18,3,0.4971238914709515,0.446,0.5958220902157068,0.7964285714285714
ionosphere,3,18,4,0.49047991722659406,0.42,0.6129204327044828,0.8214285714285714
ionosphere,4,19,0,0.49514790512268053,0.448,0.6206157668828116,0.8071428571428572
ionosphere,4,19,1,0.49021445616633436,0.386,0.5802779496705824,0.8
ionosphere,4,19,2,0.4934797845112353,0.416,0.6041562920830587,0.8107142857142857
ionosphere,4,19,3,0.499572618328133,0.496,0.6540905227396345,0.8142857142857143
ionosphere,4,19,4,0.4983439506155817,0.476,0.612964383349931,0.8178571428571428
ionosphere,5,20,0,0.49621852666214794,0.45,0.6306853825478576,0.8107142857142857
ionosphere,5,20,1,0.49707919262237654,0.446,0.6343412863516836,0.825
ionosphere,5,20,2,0.494247834827864,0.44,0.6169224102537675,0.8035714285714286
ionosphere,5,20,3,0.4965467162078683,0.458,0.6270904254357627,0.8178571428571428
ionosphere,5,20,4,0.4943410729208473,0.418,0.5883244074563452,0.8
