dataset,rel_rs,rs,fold,N1,N2,F1,F2
isolet,0,0,0,0.47989126841029023,0.2633333333333333,0.6337554871893533,0.6947250280583613
isolet,0,0,1,0.48064904751274046,0.28208333333333335,0.6469049948981594,0.7035433702100369
isolet,0,0,2,0.47861635829668353,0.25583333333333336,0.655727013358171,0.7055145880089773
isolet,0,0,3,0.4790303440188087,0.26208333333333333,0.6476474527439462,0.6904456556588651
isolet,0,0,4,0.4802682542448163,0.27125,0.6420152043851867,0.7016672010259699
isolet,1,1,0,0.47924278773339873,0.2575,0.6455484640084751,0.7038640371973706
isolet,1,1,1,0.480385455801589,0.2733333333333333,0.6373553158189617,0.7057880391213724
isolet,1,1,2,0.47972773687494424,0.26458333333333334,0.6472073411316911,0.7035908945174736
isolet,1,1,3,0.4794651418287897,0.26208333333333333,0.6466410394339408,0.6965373517152934
isolet,1,1,4,0.479702540619422,0.26666666666666666,0.6497205210958407,0.6963770439243347
isolet,2,4,0,0.47829768280886215,0.24,0.6465408275820068,0.706269039602373
isolet,2,4,1,0.4807564888716104,0.2875,0.6414916059281849,0.6988936988936989
isolet,2,4,2,0.48026823154895093,0.2679166666666667,0.6442732040264291,0.6957358127605001
isolet,2,4,3,0.4797557501607691,0.26416666666666666,0.6447853897756628,0.7034305867265149
isolet,2,4,4,0.47934026729454443,0.26,0.6432353844757375,0.6965373517152934
isolet,3,18,0,0.48005309579332356,0.2633333333333333,0.6484868485723397,0.7061087061087061
isolet,3,18,1,0.47897494765130805,0.26125,0.6406594535699305,0.7096360429693763
isolet,3,18,2,0.48083607905171505,0.27708333333333335,0.6392445430747162,0.7021481243988458
isolet,3,18,3,0.47868148652003084,0.26625,0.6520582062905181,0.6934915036870792
isolet,3,18,4,0.4799921423600888,0.25916666666666666,0.6368214320225345,0.6917281179865341
isolet,4,19,0,0.47963702302948497,0.27416666666666667,0.6429705951834851,0.7049863716530383
isolet,4,19,1,0.48012252495280267,0.27416666666666667,0.6386401888019558,0.7006573673240339
isolet,4,19,2,0.4800568157131319,0.26125,0.6510895433341676,0.70519397242706
