dataset,rel_rs,rs,fold,N1,N2,F1,F2
kc,0,0,0,0.48783251287303264,0.653968253968254,0.836066729516365,0.9896800825593395
kc,0,0,1,0.4941673553279387,0.669047619047619,0.8385451356787411,0.9886480908152735
kc,0,0,2,0.49639361698055784,0.676984126984127,0.8403379073209493,0.98659793814433
kc,0,0,3,0.49248054066757974,0.6706349206349206,0.8265990400289137,0.9855670103092784
kc,0,0,4,0.5013371612885479,0.6857142857142857,0.8543865379381099,0.9896907216494846
kc,1,1,0,0.4967126624560718,0.6603174603174603,0.8311896555145716,0.9896800825593395
kc,1,1,1,0.4974182458799929,0.6682539682539682,0.8449540181778243,0.9855521155830753
kc,1,1,2,0.495676653237013,0.6873015873015873,0.8447888297779843,0.9896907216494846
kc,1,1,3,0.4912765119551745,0.6793650793650794,0.8326642645390412,0.988659793814433
kc,1,1,4,0.4930790077226204,0.6753968253968254,0.8484760740311736,0.9876288659793815
kc,2,4,0,0.5001981455787069,0.692063492063492,0.846199307832371,0.9907120743034056
kc,2,4,1,0.49296082736471886,0.6611111111111111,0.8287203746650965,0.9876160990712074
kc,2,4,2,0.492265670511188,0.6563492063492063,0.8408445498248899,0.988659793814433
kc,2,4,3,0.49749646267702957,0.6873015873015873,0.8633509525239551,0.9876288659793815
kc,2,4,4,0.49165510515416044,0.6761904761904762,0.8177961413509663,0.9876288659793815
kc,3,18,0,0.5003066580666966,0.676984126984127,0.8541448663530798,0.9855521155830753
kc,3,18,1,0.48909828863162746,0.6706349206349206,0.8332153873585698,0.9876160990712074
kc,3,18,2,0.4921885699668346,0.6603174603174603,0.8314152158025451,0.9896907216494846
kc,3,18,3,0.49364406009251915,0.6785714285714286,0.8453297629912939,0.9876288659793815
kc,3,18,4,0.49435076267961814,0.6666666666666666,0.849804915995684,0.9896907216494846
kc,4,19,0,0.49167521984663626,0.6523809523809524,0.8255358765042659,0.9876160990712074
kc,4,19,1,0.4916218411128815,0.6658730158730158,0.816073604425559,0.9876160990712074
kc,4,19,2,0.49579153067639414,0.696031746031746,0.8513990309057448,0.9896907216494846
kc,4,19,3,0.49578720954925976,0.6785714285714286,0.8655653144219206,0.988659793814433
kc,4,19,4,0.4961713385088254,0.6698412698412698,0.8409949791014402,0.9876288659793815
kc,5,20,0,0.4966416240762072,0.696031746031746,0.8514210218297992,0.9896800825593395
kc,5,20,1,0.4930014583536136,0.6642857142857143,0.8446060647510207,0.9865841073271414
kc,5,20,2,0.4961129015936744,0.6698412698412698,0.8420532843261849,0.9876288659793815
kc,5,20,3,0.4942490820332332,0.6666666666666666,0.835973850103283,0.988659793814433
kc,5,20,4,0.493705495796427,0.6730158730158731,0.8158522440900945,0.988659793814433
kc,6,23,0,0.49873602961715835,0.6825396825396826,0.8523769787804297,0.9896800825593395
kc,6,23,1,0.4907148640743509,0.6738095238095239,0.8144371246478803,0.9896800825593395
kc,6,23,2,0.4938225460368898,0.6626984126984127,0.8182933683662229,0.98659793814433
kc,6,23,3,0.4952013916711258,0.6714285714285714,0.8530481405382924,0.98659793814433
kc,6,23,4,0.49715826554955433,0.6849206349206349,0.854693049241983,0.9896907216494846
kc,7,26,0,0.49534580616331714,0.6738095238095239,0.8442774160914526,0.9886480908152735
kc,7,26,1,0.495620065542368,0.6849206349206349,0.8506825786994473,0.9886480908152735
kc,7,26,2,0.4989720372527474,0.6904761904761905,0.8474242241153984,0.9896907216494846
kc,7,26,3,0.4918073506190339,0.6571428571428571,0.8246037064458956,0.9896907216494846
kc,7,26,4,0.49161557579627446,0.6658730158730158,0.83149694016653,0.9845360824742269
kc,8,30,0,0.4918266388836835,0.6468253968253969,0.8346090525338804,0.9865841073271414
kc,8,30,1,0.49751967033056327,0.6761904761904762,0.8565836120156158,0.9876160990712074
kc,8,30,2,0.4934766426636304,0.6761904761904762,0.8247974575236073,0.9752577319587629
kc,8,30,3,0.4980654670426348,0.6857142857142857,0.8478578422087416,0.9917525773195877
kc,8,30,4,0.4920261612989226,0.6722222222222223,0.8347760894909945,0.9876288659793815
kc,9,31,0,0.5014551688824741,0.6857142857142857,0.8597434732957857,0.9896800825593395
kc,9,31,1,0.49385897561413045,0.6579365079365079,0.8231953359426266,0.9855521155830753
kc,9,31,2,0.4947341338434765,0.6785714285714286,0.8375274966851367,0.9896907216494846
kc,9,31,3,0.4922378509339141,0.6642857142857143,0.8448887893603528,0.9855670103092784
kc,9,31,4,0.4919117347019883,0.6777777777777778,0.8343394100257001,0.988659793814433
kc,10,32,0,0.4970486299885983,0.6785714285714286,0.8568126151953921,0.9865841073271414
kc,10,32,1,0.4953520648164692,0.6785714285714286,0.8668154084342052,0.9896800825593395
kc,10,32,2,0.4887349830769634,0.6579365079365079,0.8104650749549006,0.988659793814433
kc,10,32,3,0.4968001664412886,0.6682539682539682,0.8360926564234239,0.988659793814433
kc,10,32,4,0.49225860541497385,0.6682539682539682,0.8312067590657168,0.9876288659793815
kc,11,38,0,0.4948971149121944,0.6865079365079365,0.8379800470692975,0.9886480908152735
kc,11,38,1,0.4904875240982176,0.6611111111111111,0.8421463025449198,0.9886480908152735
kc,11,38,2,0.4975650743683955,0.6682539682539682,0.8529731680907856,0.988659793814433
kc,11,38,3,0.4960583953779645,0.6682539682539682,0.8560397339609392,0.9896907216494846
kc,11,38,4,0.4939534252489424,0.6682539682539682,0.8128669101693451,0.98659793814433
kc,12,39,0,0.4931750380026092,0.6698412698412698,0.8583428543478145,0.9886480908152735
kc,12,39,1,0.4957835062610615,0.6841269841269841,0.849500791768444,0.9896800825593395
kc,12,39,2,0.5003195046432146,0.6968253968253968,0.8462238529989276,0.98659793814433
kc,12,39,3,0.49204608885729656,0.6658730158730158,0.8313720611436171,0.9876288659793815
kc,12,39,4,0.4924352505505075,0.6611111111111111,0.8209404362912162,0.988659793814433
kc,13,44,0,0.491764826375847,0.6555555555555556,0.8373985440825049,0.9886480908152735
kc,13,44,1,0.4963440216656443,0.6793650793650794,0.8568106383764486,0.9886480908152735
kc,13,44,2,0.4938802019369183,0.6841269841269841,0.8391175892258108,0.9876288659793815
kc,13,44,3,0.49756767552992476,0.6722222222222223,0.8344841787228531,0.9896907216494846
kc,13,44,4,0.4907011371820677,0.6555555555555556,0.8393393360363383,0.98659793814433
kc,14,49,0,0.48519041199644336,0.6563492063492063,0.81083327596702,0.9855521155830753
kc,14,49,1,0.4954438866103377,0.6587301587301587,0.8532097504854906,0.9917440660474717
kc,14,49,2,0.4980719841444017,0.6936507936507936,0.8442977031556336,0.98659793814433
kc,14,49,3,0.49935619074411364,0.6936507936507936,0.8556104726748014,0.988659793814433
kc,14,49,4,0.4953217459897896,0.6579365079365079,0.8347973613263264,0.988659793814433
kc,15,54,0,0.49874972733795964,0.696031746031746,0.8480064253714222,0.9865841073271414
kc,15,54,1,0.49357044922830623,0.6746031746031746,0.8248854931552352,0.9907120743034056
kc,15,54,2,0.5032242375519504,0.6944444444444444,0.8586680681041171,0.9855670103092784
kc,15,54,3,0.4911027372111383,0.6515873015873016,0.8197392509184309,0.9896907216494846
kc,15,54,4,0.4870610454280441,0.6571428571428571,0.8266377655709528,0.98659793814433
kc,16,58,0,0.4947372832044459,0.6777777777777778,0.8309469305780514,0.9907120743034056
kc,16,58,1,0.49318307911536574,0.6714285714285714,0.8488194821920197,0.9865841073271414
kc,16,58,2,0.5004037890166897,0.6698412698412698,0.8472750503481287,0.9907216494845361
kc,16,58,3,0.49391541146864254,0.6722222222222223,0.837398765230221,0.9855670103092784
kc,16,58,4,0.4898709509736751,0.6547619047619048,0.8375067697262432,0.9876288659793815
kc,17,59,0,0.4908565295503904,0.6634920634920635,0.8338072967719559,0.9865841073271414
kc,17,59,1,0.49514491488757467,0.6777777777777778,0.8439655513334642,0.9886480908152735
kc,17,59,2,0.49391673841369316,0.6793650793650794,0.8329774457928348,0.988659793814433
kc,17,59,3,0.49486004075045004,0.6817460317460318,0.8415428562624495,0.9876288659793815
kc,17,59,4,0.4971653597760764,0.6706349206349206,0.8499992069347164,0.98659793814433
kc,18,61,0,0.49111949438931474,0.6801587301587302,0.8431342207384509,0.9886480908152735
kc,18,61,1,0.4964544859888071,0.6674603174603174,0.8412118566173981,0.9865841073271414
kc,18,61,2,0.4952280203376595,0.6746031746031746,0.8295592327016226,0.9907216494845361
kc,18,61,3,0.4937549624489281,0.6706349206349206,0.8426821391245707,0.9896907216494846
kc,18,61,4,0.49534793416636236,0.6730158730158731,0.8451168297168674,0.98659793814433
kc,19,65,0,0.5002549992540681,0.6849206349206349,0.854538141320619,0.9886480908152735
kc,19,65,1,0.4929827671683685,0.6746031746031746,0.8426143504610407,0.9855521155830753
kc,19,65,2,0.4931485954340111,0.6555555555555556,0.8195351355631428,0.9876288659793815
kc,19,65,3,0.4970832061329869,0.6793650793650794,0.8650876069536702,0.988659793814433
kc,19,65,4,0.4874381048403207,0.6579365079365079,0.821089097443001,0.9896907216494846
kc,20,69,0,0.49494965139088587,0.6698412698412698,0.8436897746452146,0.9886480908152735
kc,20,69,1,0.4906746648108389,0.6761904761904762,0.8340227540990104,0.9886480908152735
kc,20,69,2,0.48967481454040185,0.6555555555555556,0.8276524431124488,0.9896907216494846
kc,20,69,3,0.5013967103371966,0.6873015873015873,0.8490258736539635,0.9876288659793815
kc,20,69,4,0.49452494108346706,0.6746031746031746,0.8484286030585686,0.98659793814433
kc,21,70,0,0.4876093368717028,0.6730158730158731,0.8507609157170254,0.9876160990712074
kc,21,70,1,0.494623967513471,0.6714285714285714,0.8416446676497048,0.9876160990712074
kc,21,70,2,0.4960359523339891,0.676984126984127,0.8438593535171044,0.9876288659793815
kc,21,70,3,0.49479525630283683,0.6579365079365079,0.8356737358856987,0.9896907216494846
kc,21,70,4,0.49353132286345686,0.6674603174603174,0.8344700128373729,0.9896907216494846
kc,22,71,0,0.4965173116398175,0.6777777777777778,0.8399655419905123,0.9896800825593395
kc,22,71,1,0.4984137901688898,0.6896825396825397,0.8332064902220618,0.9886480908152735
kc,22,71,2,0.4870564507516463,0.6357142857142857,0.8163297988460216,0.9855670103092784
kc,22,71,3,0.49353408324580356,0.6666666666666666,0.8520996853191302,0.98659793814433
kc,22,71,4,0.500851212963546,0.6912698412698413,0.8645683136559723,0.9907216494845361
kc,23,74,0,0.49089096034082713,0.6452380952380953,0.8372820189783561,0.9886480908152735
kc,23,74,1,0.4943726389847055,0.6793650793650794,0.8216372451043765,0.9865841073271414
kc,23,74,2,0.49640340993204113,0.692063492063492,0.8694931848679813,0.988659793814433
kc,23,74,3,0.4942083342342649,0.6714285714285714,0.8253975382135734,0.9896907216494846
kc,23,74,4,0.49725083363029754,0.6785714285714286,0.8439994597738023,0.988659793814433
kc,24,76,0,0.49859003005375674,0.6857142857142857,0.8477061815314549,0.9855521155830753
kc,24,76,1,0.493609560597138,0.6658730158730158,0.8371634672079625,0.9886480908152735
kc,24,76,2,0.4896019830374794,0.6595238095238095,0.8183247744441065,0.9876288659793815
kc,24,76,3,0.4976672207986674,0.669047619047619,0.8452231926423315,0.9917525773195877
kc,24,76,4,0.4929178441965177,0.676984126984127,0.8573049552122165,0.9845360824742269
kc,25,82,0,0.490482531502185,0.6698412698412698,0.8220780724461548,0.9886480908152735
kc,25,82,1,0.5019498435563308,0.676984126984127,0.8610870948857259,0.9896800825593395
kc,25,82,2,0.4959919792732237,0.669047619047619,0.8540604511435961,0.98659793814433
kc,25,82,3,0.49250411029374913,0.6611111111111111,0.8306608481555983,0.9896907216494846
kc,25,82,4,0.4920171382574659,0.6849206349206349,0.8329732192583092,0.98659793814433
kc,26,83,0,0.4909030176370519,0.6738095238095239,0.8417856185742862,0.9907120743034056
kc,26,83,1,0.49518850303801065,0.669047619047619,0.8523112498441983,0.9876160990712074
kc,26,83,2,0.49620489226345915,0.6722222222222223,0.838104705055844,0.9855670103092784
kc,26,83,3,0.490356408622146,0.6634920634920635,0.8356845999110273,0.9896907216494846
kc,26,83,4,0.49927832599596034,0.6880952380952381,0.842832444004899,0.98659793814433
kc,27,86,0,0.49862538051714744,0.6714285714285714,0.854403977458688,0.9896800825593395
kc,27,86,1,0.4946205409610972,0.6563492063492063,0.8358424957967793,0.9896800825593395
kc,27,86,2,0.4888853362693877,0.6484126984126984,0.8152239272529531,0.98659793814433
kc,27,86,3,0.49714104881325333,0.6928571428571428,0.83742595481624,0.98659793814433
kc,27,86,4,0.49417757058776113,0.6865079365079365,0.8517574075373845,0.98659793814433
kc,28,88,0,0.49527107807946713,0.6611111111111111,0.8581289393280483,0.9886480908152735
kc,28,88,1,0.49003822427585847,0.6476190476190476,0.8444925790196165,0.9876160990712074
kc,28,88,2,0.49693284400803356,0.6880952380952381,0.8370630081103211,0.9876288659793815
kc,28,88,3,0.49814088257950767,0.6753968253968254,0.8445103580491801,0.98659793814433
kc,28,88,4,0.49023523430943783,0.6801587301587302,0.8223756717805343,0.9876288659793815
kc,29,97,0,0.48971166120400184,0.6547619047619048,0.8362424867422165,0.9876160990712074
kc,29,97,1,0.49553194954261326,0.6603174603174603,0.8335350486449956,0.9896800825593395
kc,29,97,2,0.4932261013732035,0.6817460317460318,0.8522108268506051,0.98659793814433
kc,29,97,3,0.4913952999685147,0.6658730158730158,0.8344938742110285,0.98659793814433
kc,29,97,4,0.4986132925262397,0.6880952380952381,0.8463265349440172,0.9907216494845361
