dataset,rel_rs,rs,fold,N1,N2,F1,F2
mammography,0,0,0,0.3996826783968791,0.4630541871921182,0.5911437039303173,0.9612995699952221
mammography,0,0,1,0.40913881268172825,0.4374384236453202,0.5612658755689651,0.9620958751393534
mammography,0,0,2,0.3970828800955677,0.45517241379310347,0.5738654162658674,0.9611403089663959
mammography,0,0,3,0.3848640843669761,0.41970443349753694,0.5424938309992925,0.885491320273929
mammography,0,0,4,0.3987566062993856,0.45,0.5819929664879807,0.9632165605095542
mammography,1,1,0,0.39021542488932326,0.45714285714285713,0.577861989231654,0.9627329192546584
mammography,1,1,1,0.4257902213741878,0.4640394088669951,0.5750758004846896,0.9616180920528746
mammography,1,1,2,0.38551395641022396,0.4374384236453202,0.5606442982173759,0.8775282688326167
mammography,1,1,3,0.3967152218491958,0.4463054187192118,0.5707379386757748,0.9283325370281892
mammography,1,1,4,0.3927900238575232,0.4392156862745098,0.5648596851526235,0.9606687898089172
mammography,2,4,0,0.40227044292129505,0.458128078817734,0.591587688965654,0.8872431915910177
mammography,2,4,1,0.3896386722905832,0.432512315270936,0.5538047165248926,0.9616180920528746
mammography,2,4,2,0.3951431413326406,0.44729064039408867,0.5906840940660234,0.9082656473960822
mammography,2,4,3,0.3918895392474265,0.45024630541871924,0.5488371923969769,0.9595476986781335
mammography,2,4,4,0.40381809006636016,0.44901960784313727,0.5684585160620468,0.9630573248407643
mammography,3,18,0,0.3952239972582319,0.4492610837438424,0.5746681881951322,0.9619366141105271
mammography,3,18,1,0.39756864488161997,0.4463054187192118,0.5641914525522014,0.9601847427934385
mammography,3,18,2,0.4029978279789962,0.4541871921182266,0.5721931819081979,0.9280140149705367
mammography,3,18,3,0.3952378351564389,0.45911330049261084,0.5844636979215372,0.9624143971970059
mammography,3,18,4,0.3967061785440493,0.4411764705882353,0.5483188943196586,0.8780254777070063
mammography,4,19,0,0.38935073186310654,0.4295566502463054,0.5493956579872664,0.9625736582258322
mammography,4,19,1,0.3931154157697213,0.45024630541871924,0.5925162779119072,0.9620958751393534
mammography,4,19,2,0.39600097964499853,0.4374384236453202,0.5657096232644097,0.9619366141105271
mammography,4,19,3,0.3907744442042183,0.4403940886699507,0.5765924987006416,0.884217232043319
mammography,4,19,4,0.4164848409764722,0.47843137254901963,0.5677153418098987,0.9294585987261147
mammography,5,20,0,0.3783504079582419,0.42561576354679803,0.5650097856767349,0.9299251473164517
mammography,5,20,1,0.41183746821451456,0.4719211822660099,0.5814791001386842,0.9622551361681796
mammography,5,20,2,0.38664473319645587,0.4492610837438424,0.5607044749022185,0.8862876254180602
mammography,5,20,3,0.40326990984931865,0.45123152709359604,0.5771487588138513,0.9632107023411371
mammography,5,20,4,0.4097151673516273,0.442156862745098,0.5639976397723708,0.9603503184713376
mammography,6,23,0,0.3819301997331607,0.4295566502463054,0.5665736936151852,0.9614588310240484
mammography,6,23,1,0.3924278863895068,0.46206896551724136,0.5746321761728846,0.9632107023411371
