dataset,rel_rs,rs,fold,N1,N2,F1,F2
oil,0,0,0,0.5329497049411156,0.66875,0.3685981145875852,0.6048064085447263
oil,0,0,1,0.546200072328997,0.7090909090909091,0.37913444016168535,0.7610146862483311
oil,0,0,2,0.5386134659611094,0.6545454545454545,0.3975214848939872,0.7293333333333333
oil,0,0,3,0.5477530425959353,0.7333333333333333,0.4998525817723725,0.716
oil,0,0,4,0.5460650765828532,0.7212121212121212,0.4547914830964514,0.744
oil,1,1,0,0.5460165561054721,0.7125,0.41528740699552824,0.7303070761014686
oil,1,1,1,0.5333712782290005,0.6484848484848484,0.389083486560256,0.7516688918558078
oil,1,1,2,0.5430839361777412,0.7151515151515152,0.4625735499387999,0.7133333333333334
oil,1,1,3,0.5478144440776461,0.7333333333333333,0.4639477707340149,0.756
oil,1,1,4,0.5346889913717092,0.6727272727272727,0.3718511936886563,0.7386666666666667
oil,2,4,0,0.5337881139681118,0.65625,0.3596649488773071,0.7062750333778371
oil,2,4,1,0.5506910186971357,0.7393939393939394,0.4494346110382587,0.7102803738317757
oil,2,4,2,0.5369078126945344,0.6848484848484848,0.4354897624566268,0.7506666666666667
oil,2,4,3,0.5434360449224813,0.7151515151515152,0.40955359377606976,0.7426666666666667
oil,2,4,4,0.547449189839889,0.7212121212121212,0.44636241727350456,0.76
oil,3,18,0,0.5438728422578784,0.7,0.4142426074752557,0.7356475300400535
oil,3,18,1,0.5409524762827648,0.7636363636363637,0.46997796418309656,0.7423230974632844
oil,3,18,2,0.5419476853847042,0.6787878787878788,0.39864098816137256,0.7186666666666667
oil,3,18,3,0.5450962456730413,0.6848484848484848,0.4120461729422003,0.7373333333333333
oil,3,18,4,0.5364418679433667,0.6727272727272727,0.40576301335139603,0.748
oil,4,19,0,0.5494480548123577,0.74375,0.41230952041485147,0.5874499332443258
oil,4,19,1,0.5368556380076923,0.6242424242424243,0.43018653684805563,0.7476635514018691
oil,4,19,2,0.5429285767669324,0.6787878787878788,0.39434359255235,0.748
oil,4,19,3,0.541712316145385,0.7151515151515152,0.4031284016992727,0.7466666666666667
oil,4,19,4,0.5446921327456647,0.7454545454545455,0.46248622195648487,0.7106666666666667
oil,5,20,0,0.5435305695431704,0.6875,0.4267721773782555,0.7449933244325768
oil,5,20,1,0.5457790494029,0.6909090909090909,0.4107914673602291,0.7489986648865153
oil,5,20,2,0.5384671849830929,0.6848484848484848,0.42257431760296443,0.7413333333333333
oil,5,20,3,0.5377062572250072,0.6606060606060606,0.3900991988016788,0.744
oil,5,20,4,0.5472312205987206,0.7757575757575758,0.45534953574392306,0.7106666666666667
oil,6,23,0,0.5535469016440427,0.7125,0.4615209028520806,0.7463284379172229
oil,6,23,1,0.5372713764602681,0.703030303030303,0.3633579737407891,0.739652870493992
oil,6,23,2,0.5432790971054232,0.7090909090909091,0.4739856477754834,0.7453333333333333
oil,6,23,3,0.526062256408274,0.6181818181818182,0.3538680355871766,0.7413333333333333
oil,6,23,4,0.5464379544636528,0.7272727272727273,0.45168403881633185,0.7093333333333334
oil,7,26,0,0.5411723542245764,0.7125,0.41650587752151297,0.616822429906542
oil,7,26,1,0.5447399551619301,0.6909090909090909,0.40993544920949826,0.7449933244325768
oil,7,26,2,0.532083453406785,0.6303030303030303,0.443156639228966,0.7426666666666667
oil,7,26,3,0.5471416388621975,0.7090909090909091,0.4165315786824751,0.74
oil,7,26,4,0.542579877357923,0.7212121212121212,0.4142562056663064,0.7213333333333334
oil,8,30,0,0.5438942516628393,0.70625,0.39847345766356135,0.42990654205607476
oil,8,30,1,0.5462936519132187,0.7454545454545455,0.43570656402584257,0.7489986648865153
oil,8,30,2,0.5481490904914462,0.703030303030303,0.44129506082098113,0.7533333333333333
oil,8,30,3,0.547892501178955,0.7393939393939394,0.43394160603287785,0.74
oil,8,30,4,0.5286282603933297,0.6363636363636364,0.39314670293283543,0.7226666666666667
oil,9,31,0,0.5523175686939106,0.79375,0.5097124594016477,0.7516688918558078
oil,9,31,1,0.551340537654943,0.7515151515151515,0.3967769621202175,0.7436582109479306
oil,9,31,2,0.5244577284073415,0.6242424242424243,0.41286048321486196,0.7226666666666667
oil,9,31,3,0.5455201318812838,0.7272727272727273,0.41570596254893033,0.7266666666666667
oil,9,31,4,0.5362226835101472,0.6484848484848484,0.36958074936736823,0.44
oil,10,32,0,0.5401391862963494,0.68125,0.3925811482663141,0.7236315086782377
oil,10,32,1,0.5404311026201545,0.7090909090909091,0.4008227446888101,0.753004005340454
oil,10,32,2,0.5337617473397099,0.6121212121212121,0.3699444819171587,0.7666666666666667
oil,10,32,3,0.5554976195875443,0.7757575757575758,0.4627974553098331,0.744
oil,10,32,4,0.542044121992584,0.7333333333333333,0.47293572279809826,0.7093333333333334
oil,11,38,0,0.5477135014093443,0.71875,0.4095396952535619,0.7009345794392523
oil,11,38,1,0.5398970098761838,0.7272727272727273,0.4678632150385169,0.7423230974632844
oil,11,38,2,0.5424077841738957,0.703030303030303,0.4137744750314686,0.7493333333333333
oil,11,38,3,0.5394507648081573,0.6363636363636364,0.37594045005339277,0.7413333333333333
oil,11,38,4,0.5444017060233041,0.7090909090909091,0.43628504826963743,0.7413333333333333
oil,12,39,0,0.5453248146339251,0.73125,0.4343876945680004,0.7476635514018691
oil,12,39,1,0.5461842877794976,0.703030303030303,0.463810031580591,0.7583444592790387
oil,12,39,2,0.5379881719550254,0.6727272727272727,0.40658191706066055,0.7173333333333334
oil,12,39,3,0.5432109557880808,0.703030303030303,0.37496100458612974,0.6053333333333333
oil,12,39,4,0.5333935613494087,0.6606060606060606,0.4213690017466079,0.7386666666666667
oil,13,44,0,0.5347783015760045,0.6625,0.38379357491261834,0.7516688918558078
oil,13,44,1,0.5577956841945569,0.806060606060606,0.4861449832064492,0.7249666221628839
oil,13,44,2,0.5354559756567949,0.6666666666666666,0.4312658839516227,0.748
oil,13,44,3,0.5424951486244132,0.6909090909090909,0.3986216422700362,0.7453333333333333
oil,13,44,4,0.5442073404941672,0.6727272727272727,0.40405935695645456,0.7373333333333333
oil,14,49,0,0.5489401811308448,0.7125,0.4432033108601223,0.7182910547396528
oil,14,49,1,0.5548804963981689,0.7575757575757576,0.46330765385752154,0.7343124165554072
oil,14,49,2,0.5393527370722943,0.7272727272727273,0.4109355833934328,0.7426666666666667
oil,14,49,3,0.5326969631649945,0.6484848484848484,0.39719038263640044,0.7573333333333333
oil,14,49,4,0.5354479540556147,0.6666666666666666,0.38229176192467534,0.7226666666666667
oil,15,54,0,0.5401736634499901,0.675,0.4068820918814563,0.7276368491321762
oil,15,54,1,0.5392884019765496,0.7090909090909091,0.4451291193365279,0.7583444592790387
oil,15,54,2,0.5463065337226662,0.696969696969697,0.40147160717708613,0.7346666666666667
oil,15,54,3,0.5488814131119394,0.703030303030303,0.42000925813240075,0.7453333333333333
oil,15,54,4,0.540427320073986,0.7393939393939394,0.42679597077270715,0.7186666666666667
oil,16,58,0,0.5432537617366052,0.675,0.42938896493661816,0.7383177570093458
oil,16,58,1,0.5494269838562488,0.7515151515151515,0.43152402611017404,0.7182910547396528
oil,16,58,2,0.5340088089475952,0.6666666666666666,0.40936569732840544,0.7373333333333333
