dataset,rel_rs,rs,fold,N1,N2,F1,F2
pc,0,0,0,0.6986177946060116,0.9685393258426966,0.890329699102724,0.9255102040816326
pc,0,0,1,0.6918434169798137,0.96,0.834554952528175,0.8992603927569498
pc,0,0,2,0.7069895311736514,0.9533333333333334,0.8711863290624191,0.9329252741647539
pc,0,0,3,0.6944044559480448,0.96,0.8611956164744036,0.9285896454985973
pc,0,0,4,0.698274746158016,0.950561797752809,0.8479750850961938,0.9145626115786789
pc,1,1,0,0.7010313650642991,0.9685393258426966,0.8857966153067693,0.9290816326530612
pc,1,1,1,0.6897273612711927,0.96,0.8349707696004448,0.9211935730680949
pc,1,1,2,0.7009182696710127,0.9555555555555556,0.8306136973479488,0.9222137209895435
pc,1,1,3,0.7007032871827922,0.9577777777777777,0.8770568736844143,0.9023208365212956
pc,1,1,4,0.6968744886391848,0.9483146067415731,0.8776338251356083,0.9319051262433052
pc,2,4,0,0.7042007486384665,0.9640449438202248,0.8818015745568426,0.9198979591836735
pc,2,4,1,0.7065736782426342,0.9688888888888889,0.8460831148075173,0.9000255036980362
pc,2,4,2,0.6943724128733972,0.9444444444444444,0.8706890782955993,0.9227237949502678
pc,2,4,3,0.6942963474633017,0.9622222222222222,0.8297368882870595,0.9334353481254782
pc,2,4,4,0.6949909979378447,0.9640449438202248,0.8768893966215132,0.9311400153022188
pc,3,18,0,0.702589250060495,0.9707865168539326,0.8810944826169086,0.9252551020408163
pc,3,18,1,0.7064632634950914,0.9488888888888889,0.8242015921307346,0.8944146901300689
pc,3,18,2,0.7025116205579597,0.9688888888888889,0.8756937892940913,0.9308849783218567
pc,3,18,3,0.6912147679033559,0.9511111111111111,0.8400237361746449,0.8627901045651619
pc,3,18,4,0.6964452408111049,0.9640449438202248,0.8844031396499007,0.9329252741647539
pc,4,19,0,0.6987028197679905,0.9550561797752809,0.8547821603612766,0.8982142857142857
pc,4,19,1,0.6921428535039804,0.9644444444444444,0.8424776280602846,0.9224687579699057
pc,4,19,2,0.6965119023502543,0.9577777777777777,0.8607138560422337,0.9303749043611323
pc,4,19,3,0.7035296546194988,0.9511111111111111,0.8396642658010989,0.9329252741647539
pc,4,19,4,0.6944648316106209,0.952808988764045,0.907132181821473,0.9191532772251977
pc,5,20,0,0.6994661355323967,0.9662921348314607,0.8703544773499218,0.9301020408163265
pc,5,20,1,0.6909920774535293,0.96,0.8650442399679227,0.9025758735016577
pc,5,20,2,0.694332235396124,0.96,0.8299223213569797,0.9153277225197654
pc,5,20,3,0.7047319105394501,0.9555555555555556,0.8310241739517874,0.9324152002040296
pc,5,20,4,0.7100520891914974,0.9550561797752809,0.9082160193543095,0.924764090793165
pc,6,23,0,0.6968441628859205,0.952808988764045,0.8959246079043964,0.9160714285714285
pc,6,23,1,0.7081983924726443,0.9688888888888889,0.8226076999433152,0.9321601632236675
pc,6,23,2,0.6972224960943024,0.9466666666666667,0.8625975868918171,0.9316500892629431
pc,6,23,3,0.6999182890317915,0.9666666666666667,0.8741114272611421,0.9043611323641928
pc,6,23,4,0.691261133657546,0.9640449438202248,0.8493037241933485,0.9301198673807702
pc,7,26,0,0.7002035661978304,0.9685393258426966,0.8499683463752389,0.9280612244897959
pc,7,26,1,0.6882795149544445,0.9622222222222222,0.8485370568205625,0.9334353481254782
pc,7,26,2,0.7019509795281005,0.9511111111111111,0.8668525626567143,0.9306299413414946
pc,7,26,3,0.6975453982040724,0.9622222222222222,0.8451482889220115,0.8806426931905126
pc,7,26,4,0.7022544915038447,0.9617977528089887,0.8953899428730986,0.9046161693445549
pc,8,30,0,0.7052457984738492,0.9595505617977528,0.8300108573913803,0.8997448979591837
pc,8,30,1,0.7065824079186604,0.9755555555555555,0.8776020133353979,0.9316500892629431
pc,8,30,2,0.6940738791593335,0.96,0.866263256174736,0.894669727110431
pc,8,30,3,0.6781959328507772,0.9444444444444444,0.8757667882177105,0.933180311145116
pc,8,30,4,0.7065723268780564,0.9595505617977528,0.8567117100644892,0.9334353481254782
pc,9,31,0,0.695623722214311,0.9550561797752809,0.8380244428793492,0.8979591836734694
pc,9,31,1,0.7029124592521555,0.9644444444444444,0.8981896013173769,0.9007906146391227
pc,9,31,2,0.6914791514528028,0.9644444444444444,0.8782650546679752,0.9329252741647539
pc,9,31,3,0.6953341922234502,0.9422222222222222,0.8041510382956871,0.9316500892629431
pc,9,31,4,0.7027408859731145,0.9573033707865168,0.8836354007410185,0.931395052282581
pc,10,32,0,0.7043367447553314,0.946067415730337,0.8795091878841158,0.9311224489795918
pc,10,32,1,0.6935297322293889,0.96,0.8323166226348768,0.9319051262433052
pc,10,32,2,0.6997001961490756,0.9644444444444444,0.8374271365008236,0.9227237949502678
pc,10,32,3,0.6998650128262163,0.9666666666666667,0.8831836924596943,0.8990053557765876
pc,10,32,4,0.6972116594578222,0.9573033707865168,0.8731531712546298,0.9171129813823005
pc,11,38,0,0.7040000352307868,0.952808988764045,0.8769559193508735,0.9326530612244898
pc,11,38,1,0.6902394634945572,0.9644444444444444,0.8352666069085402,0.9329252741647539
pc,11,38,2,0.7011646784193253,0.9577777777777777,0.8788249896857439,0.9306299413414946
pc,11,38,3,0.7051767727696502,0.9577777777777777,0.8751461401349815,0.9028309104820199
pc,11,38,4,0.6893276866217031,0.952808988764045,0.8399478157300934,0.9038510584034685
pc,12,39,0,0.7066219348887992,0.9662921348314607,0.8769316166277277,0.9267857142857143
pc,12,39,1,0.692941090153217,0.9511111111111111,0.8759270637885591,0.9329252741647539
pc,12,39,2,0.7093369187805881,0.9533333333333334,0.8641669779609622,0.9000255036980362
pc,12,39,3,0.6849537293084772,0.9644444444444444,0.8446896843058566,0.9171129813823005
pc,12,39,4,0.7022212535303151,0.9640449438202248,0.8455042297405525,0.9329252741647539
pc,13,44,0,0.7041706494523978,0.9595505617977528,0.8945531113165238,0.9010204081632653
pc,13,44,1,0.7025200657695966,0.9577777777777777,0.8936532464049151,0.9354756439683755
pc,13,44,2,0.6892179209327771,0.9622222222222222,0.8277894318900808,0.9160928334608518
pc,13,44,3,0.6988793465959948,0.9622222222222222,0.8884011537850016,0.9303749043611323
pc,13,44,4,0.6980370571502861,0.9595505617977528,0.7913347971586463,0.933180311145116
pc,14,49,0,0.6947179860406306,0.950561797752809,0.8290657256837484,0.8982142857142857
pc,14,49,1,0.7035691249224663,0.9644444444444444,0.8788877430579233,0.9334353481254782
pc,14,49,2,0.6994387828884528,0.9644444444444444,0.8660238138640562,0.9308849783218567
pc,14,49,3,0.7012413636746854,0.9622222222222222,0.883693361323118,0.9033409844427442
pc,14,49,4,0.6967280695721606,0.9617977528089887,0.8472320615332726,0.9229788319306299
pc,15,54,0,0.6967676763322668,0.9617977528089887,0.8558096336913372,0.8946428571428572
pc,15,54,1,0.7102103410402878,0.9666666666666667,0.8805885392215502,0.931395052282581
pc,15,54,2,0.6845761070716062,0.9644444444444444,0.858496940503708,0.9023208365212956
pc,15,54,3,0.6975939658950822,0.96,0.8100565944214515,0.9326702371843917
pc,15,54,4,0.7057742160317881,0.9595505617977528,0.8987372999168122,0.9301198673807702
pc,16,58,0,0.7036042366513143,0.9595505617977528,0.8607000507607788,0.9323979591836735
pc,16,58,1,0.6847983801871272,0.9733333333333334,0.8350447094319307,0.8808977301708748
pc,16,58,2,0.6961739320231102,0.9644444444444444,0.8695094031817514,0.9296097934200459
pc,16,58,3,0.7039403896164155,0.9488888888888889,0.8698281854888648,0.8972200969140526
pc,16,58,4,0.7054103336273655,0.952808988764045,0.8730085333805551,0.9311400153022188
pc,17,59,0,0.7039448735223075,0.9685393258426966,0.8500743675707806,0.9311224489795918
pc,17,59,1,0.7108159942005016,0.9511111111111111,0.8896991181296072,0.9260392756949758
pc,17,59,2,0.6989733942530828,0.9622222222222222,0.849996398180964,0.9326702371843917
pc,17,59,3,0.6938555504756088,0.96,0.865214474540169,0.9171129813823005
pc,17,59,4,0.682238682709117,0.9483146067415731,0.8525157104320329,0.8921193573068095
pc,18,61,0,0.6989135001686109,0.9573033707865168,0.8470462466146994,0.9191326530612245
pc,18,61,1,0.6968808505231806,0.96,0.8334487010743038,0.9311400153022188
pc,18,61,2,0.7003373077951285,0.9644444444444444,0.8714594238651151,0.9015557255802091
pc,18,61,3,0.6853079721108994,0.9644444444444444,0.8816626148727368,0.9048712063249171
pc,18,61,4,0.7085832691086441,0.952808988764045,0.8736865641518541,0.929864830400408
pc,19,65,0,0.7019729405466583,0.9617977528089887,0.8573373495658321,0.9318877551020408
pc,19,65,1,0.6932131884598262,0.9555555555555556,0.8472116213664094,0.933180311145116
pc,19,65,2,0.699684033192152,0.9555555555555556,0.8379058054335848,0.931395052282581
pc,19,65,3,0.7082213591015035,0.9555555555555556,0.9017415491055646,0.9010456516194848
pc,19,65,4,0.689021343940373,0.9617977528089887,0.8618593233352185,0.9071665391481765
pc,20,69,0,0.7003660142461504,0.9573033707865168,0.8413686829519407,0.8936224489795919
pc,20,69,1,0.7075326848058406,0.9755555555555555,0.9014331585796547,0.9268043866360622
pc,20,69,2,0.6886997110717363,0.9511111111111111,0.8366701274837164,0.9002805406783984
pc,20,69,3,0.699577755509453,0.9577777777777777,0.824842422288134,0.9326702371843917
pc,20,69,4,0.697356120522964,0.9573033707865168,0.8786060820303874,0.9326702371843917
pc,21,70,0,0.698804527646984,0.9595505617977528,0.8547078903086999,0.9017857142857143
pc,21,70,1,0.6991914761571629,0.9533333333333334,0.8662744249625695,0.9303749043611323
pc,21,70,2,0.7035146616814071,0.9622222222222222,0.8827396837588779,0.8939046161693446
pc,21,70,3,0.6835981982798598,0.9644444444444444,0.8544270906698576,0.9321601632236675
