dataset,rel_rs,rs,fold,N1,N2,F1,F2
satimage,0,0,0,0.46984063818433736,0.3457085828343313,0.7214100449992737,0.6934731934731935
satimage,0,0,1,0.4681246611515641,0.3277445109780439,0.7234549847297836,0.6252913752913752
satimage,0,0,2,0.47008628314026574,0.35129740518962077,0.7342062570757129,0.6946386946386947
satimage,0,0,3,0.46954756859267976,0.33652694610778444,0.7218954587995117,0.6944444444444444
satimage,0,0,4,0.47010930598374145,0.3368,0.7317093291565444,0.6958041958041958
satimage,1,1,0,0.47110748976325195,0.35528942115768464,0.7279219099665898,0.6961926961926962
satimage,1,1,1,0.47065583595295346,0.3520958083832335,0.7213572155704511,0.6897824397824398
satimage,1,1,2,0.4688684321432046,0.32295409181636725,0.7218235026533972,0.6262626262626263
satimage,1,1,3,0.46853727234209247,0.3413173652694611,0.7307758085514009,0.6934731934731935
satimage,1,1,4,0.4687213501575909,0.3348,0.7308256183854563,0.695027195027195
satimage,2,4,0,0.47199047332071936,0.35449101796407184,0.719808951248649,0.696969696969697
satimage,2,4,1,0.4698876427862572,0.34970059880239523,0.7228085702220619,0.6868686868686869
satimage,2,4,2,0.4705275541933825,0.3445109780439122,0.7348883748963191,0.6961926961926962
satimage,2,4,3,0.46959176359872484,0.34171656686626745,0.732134299755427,0.6958041958041958
satimage,2,4,4,0.4667627871465505,0.3188,0.7230379957597093,0.6227661227661228
satimage,3,18,0,0.46944999178153474,0.33572854291417165,0.7356375214056623,0.6944444444444444
satimage,3,18,1,0.4711731631846077,0.34970059880239523,0.7263070137264518,0.6891996891996892
satimage,3,18,2,0.46844379204478775,0.3333333333333333,0.7158035990684077,0.6965811965811965
satimage,3,18,3,0.46969887398531973,0.3508982035928144,0.7308258452504168,0.6231546231546231
satimage,3,18,4,0.468985588079314,0.3376,0.7240611718038936,0.695027195027195
satimage,4,19,0,0.4680846733136616,0.34530938123752497,0.7219916726143502,0.6915306915306916
satimage,4,19,1,0.4697414773513846,0.3345309381237525,0.7197985864109528,0.6985236985236986
satimage,4,19,2,0.46631835230176616,0.3285429141716567,0.7284625017701505,0.6907536907536908
satimage,4,19,3,0.4702672286876455,0.3389221556886228,0.733926612141922,0.6930846930846931
satimage,4,19,4,0.47309981693471853,0.3572,0.7285338877735458,0.683954933954934
satimage,5,20,0,0.4685047916470849,0.3281437125748503,0.7229290009029903,0.6905594405594405
satimage,5,20,1,0.47003991148533303,0.34930139720558884,0.7244142775126707,0.6938616938616938
satimage,5,20,2,0.4695690895509504,0.3377245508982036,0.7238002694205735,0.6948329448329449
satimage,5,20,3,0.46966838163524965,0.33692614770459084,0.7242300452605284,0.6921134421134422
satimage,5,20,4,0.4690552658805455,0.3392,0.7373532531602044,0.62995337995338
satimage,6,23,0,0.4701686348154923,0.3385229540918164,0.7235566821092224,0.6911421911421911
satimage,6,23,1,0.4669502600112984,0.325748502994012,0.7312653703574867,0.6921134421134422
satimage,6,23,2,0.4714587084578057,0.36367265469061877,0.7222926034116783,0.6991064491064491
satimage,6,23,3,0.4697120857276381,0.33692614770459084,0.725940144005767,0.6326728826728827
satimage,6,23,4,0.4694117347253481,0.3352,0.7295906362322278,0.6903651903651904
satimage,7,26,0,0.46861035609672036,0.33812375249501,0.7348683575616959,0.6897824397824398
satimage,7,26,1,0.46772082860538305,0.31736526946107785,0.7310990069720265,0.6994949494949495
satimage,7,26,2,0.46986390538147116,0.350499001996008,0.717468425559305,0.6936674436674437
satimage,7,26,3,0.471119936375067,0.35449101796407184,0.7301428524583851,0.6940559440559441
satimage,7,26,4,0.4702302685448875,0.3376,0.7191428152979314,0.6262626262626263
satimage,8,30,0,0.46592480562720306,0.32415169660678644,0.7338742662267744,0.6907536907536908
satimage,8,30,1,0.46886756329612966,0.3469061876247505,0.7239554308923317,0.6944444444444444
satimage,8,30,2,0.4700195711507169,0.3449101796407186,0.7189459756423526,0.697940947940948
satimage,8,30,3,0.47238622595428315,0.3532934131736527,0.72808853136955,0.690947940947941
satimage,8,30,4,0.4708333655833441,0.3472,0.7276734223130675,0.6965811965811965
satimage,9,31,0,0.4688551734852145,0.3413173652694611,0.7325159120715834,0.6946386946386947
satimage,9,31,1,0.4710148321777534,0.3528942115768463,0.7150554156044754,0.6942501942501943
satimage,9,31,2,0.4682037671863993,0.3317365269461078,0.7301543239878749,0.6934731934731935
satimage,9,31,3,0.4700774982649442,0.3457085828343313,0.7214298096157707,0.6963869463869464
satimage,9,31,4,0.4694162398492977,0.3308,0.7334286365770014,0.6594794094794095
satimage,10,32,0,0.4700927146113386,0.3321357285429142,0.7293041798109499,0.6917249417249417
satimage,10,32,1,0.4718604929233434,0.35489021956087824,0.7288411102245226,0.6956099456099456
satimage,10,32,2,0.4663310992573861,0.3265469061876248,0.730110792320312,0.696969696969697
satimage,10,32,3,0.46711551811193835,0.3281437125748503,0.7247399781722216,0.6946386946386947
satimage,10,32,4,0.4721010709415548,0.3564,0.7197789888532801,0.6911421911421911
satimage,11,38,0,0.4684088440143256,0.3349301397205589,0.7288375511348252,0.6886169386169386
satimage,11,38,1,0.46970134050003404,0.3457085828343313,0.7247263912420492,0.695998445998446
satimage,11,38,2,0.4681056281085418,0.3465069860279441,0.732202329753694,0.6981351981351981
satimage,11,38,3,0.47060468076700945,0.33652694610778444,0.7281338412432666,0.6961926961926962
satimage,11,38,4,0.47167426518242145,0.3428,0.7187718950143066,0.6913364413364413
satimage,12,39,0,0.4685170980753563,0.332934131736527,0.7301010200812111,0.6721056721056721
satimage,12,39,1,0.4709512677541787,0.3528942115768463,0.7316976902158264,0.6942501942501943
satimage,12,39,2,0.46801074900680906,0.3337325349301397,0.7255015917865992,0.6925019425019425
satimage,12,39,3,0.4661802424475979,0.3285429141716567,0.7242597836226341,0.697940947940948
satimage,12,39,4,0.4733405110521034,0.3524,0.7211294142572181,0.6934731934731935
satimage,13,44,0,0.46951101748905627,0.33612774451097804,0.7318624605807662,0.7016317016317016
satimage,13,44,1,0.47132092009970733,0.3445109780439122,0.7293707940016365,0.6944444444444444
satimage,13,44,2,0.47071689852135806,0.34890219560878244,0.7051469866019625,0.6899766899766899
satimage,13,44,3,0.46547836051073316,0.3221556886227545,0.7208521397305596,0.6239316239316239
satimage,13,44,4,0.4706118633579308,0.3424,0.7453856997107975,0.695998445998446
satimage,14,49,0,0.46803197652366985,0.33812375249501,0.7207181531134956,0.6913364413364413
satimage,14,49,1,0.47179897420222894,0.34770459081836325,0.734092873752823,0.696969696969697
satimage,14,49,2,0.4674152963150713,0.3333333333333333,0.7144225550913236,0.6913364413364413
satimage,14,49,3,0.4697456343562645,0.3437125748502994,0.7230103777115758,0.6932789432789432
satimage,14,49,4,0.4706991444511722,0.3472,0.74050273747002,0.6973581973581974
satimage,15,54,0,0.4697175505818287,0.3445109780439122,0.7193300865636787,0.6928904428904429
satimage,15,54,1,0.4672800909164884,0.33652694610778444,0.7333894650349781,0.6975524475524476
satimage,15,54,2,0.4701079058697188,0.3473053892215569,0.7257482200147121,0.6806526806526807
satimage,15,54,3,0.46984845579542267,0.3405189620758483,0.7297728009640044,0.6274281274281275
satimage,15,54,4,0.469928066422942,0.3324,0.7244897359492601,0.6932789432789432
satimage,16,58,0,0.4693280583956567,0.3385229540918164,0.7342125283897295,0.6975524475524476
satimage,16,58,1,0.46906940796281205,0.3405189620758483,0.7280946060369375,0.6926961926961926
satimage,16,58,2,0.46907079394464085,0.3373253493013972,0.7217056683097389,0.6921134421134422
satimage,16,58,3,0.4707042987267994,0.3441117764471058,0.7281650396960948,0.6934731934731935
satimage,16,58,4,0.46997175295846033,0.348,0.7206037746016305,0.628010878010878
satimage,17,59,0,0.46891050041002247,0.33812375249501,0.7334659963430554,0.6967754467754468
satimage,17,59,1,0.47256218359650426,0.3457085828343313,0.7278480500947158,0.6925019425019425
satimage,17,59,2,0.46857297292710187,0.3401197604790419,0.7241039318607221,0.6936674436674437
satimage,17,59,3,0.46872180248520845,0.3349301397205589,0.7300491754080572,0.6946386946386947
satimage,17,59,4,0.4678320923022201,0.3392,0.7172354469675875,0.6827894327894328
satimage,18,61,0,0.47006622308028484,0.330938123752495,0.726978544959868,0.695998445998446
satimage,18,61,1,0.4679342124737781,0.33053892215568864,0.7325577916265759,0.6954156954156954
satimage,18,61,2,0.4692086370241714,0.3393213572854291,0.7252206674915117,0.6899766899766899
satimage,18,61,3,0.46994136799764696,0.3457085828343313,0.7308860503061915,0.6958041958041958
satimage,18,61,4,0.47069461072722746,0.354,0.717047084713182,0.6940559440559441
satimage,19,65,0,0.47036559848361015,0.34810379241516964,0.7276606864357421,0.6996891996891997
satimage,19,65,1,0.4672482345712458,0.3285429141716567,0.7273523099365324,0.6926961926961926
satimage,19,65,2,0.4689407182399323,0.3377245508982036,0.7258131105395326,0.6926961926961926
satimage,19,65,3,0.47037491697935874,0.34251497005988024,0.732146588649635,0.6954156954156954
satimage,19,65,4,0.46990052356694156,0.3436,0.719798405685352,0.6901709401709402
satimage,20,69,0,0.46757069833185166,0.3149700598802395,0.7306131073142391,0.682983682983683
