dataset,rel_rs,rs,fold,N1,N2,F1,F2
spectrometer,0,0,0,0.4306322557182766,0.34444444444444444,0.5451259213961047,0.6202830188679245
spectrometer,0,0,1,0.4287890705443173,0.35555555555555557,0.5160699902502301,0.6047058823529412
spectrometer,0,0,2,0.4281465609827803,0.35555555555555557,0.5540574493143724,0.64
spectrometer,0,0,3,0.42310484938858334,0.32222222222222224,0.5261601643654339,0.4211764705882353
spectrometer,0,0,4,0.42278115011902323,0.36666666666666664,0.5778040533397277,0.611764705882353
spectrometer,1,1,0,0.41977309081918246,0.2722222222222222,0.5107843916946115,0.6108490566037735
spectrometer,1,1,1,0.4209989049960592,0.32222222222222224,0.5738017157348745,0.6094117647058823
spectrometer,1,1,2,0.42009198992483043,0.37222222222222223,0.5444449192713523,0.6376470588235295
spectrometer,1,1,3,0.43451374841260754,0.39444444444444443,0.5048910892053857,0.43058823529411766
spectrometer,1,1,4,0.432466856160585,0.35555555555555557,0.5804614248132381,0.6164705882352941
spectrometer,2,4,0,0.42796753246719405,0.35555555555555557,0.5099730139446024,0.6202830188679245
spectrometer,2,4,1,0.42002164364063305,0.37777777777777777,0.5381483267416544,0.6
spectrometer,2,4,2,0.4146468094486987,0.28888888888888886,0.5285147324865552,0.6094117647058823
spectrometer,2,4,3,0.4424196890432208,0.35555555555555557,0.5537680095425964,0.6188235294117647
spectrometer,2,4,4,0.42886754148257733,0.3277777777777778,0.5785114502665795,0.4541176470588235
spectrometer,3,18,0,0.40267836053149997,0.2777777777777778,0.5429991863026095,0.6155660377358491
spectrometer,3,18,1,0.43747853305008244,0.3333333333333333,0.5708905035574324,0.6282352941176471
spectrometer,3,18,2,0.42224635755434026,0.3388888888888889,0.5272137206923442,0.4235294117647059
spectrometer,3,18,3,0.43022883341407014,0.4,0.5105022228277868,0.6211764705882353
spectrometer,3,18,4,0.43888147989082954,0.37777777777777777,0.5509341984056292,0.6070588235294118
spectrometer,4,19,0,0.44235959976167805,0.37222222222222223,0.5440065095682027,0.6320754716981132
spectrometer,4,19,1,0.39943040553728754,0.2833333333333333,0.5582550295043767,0.6070588235294118
spectrometer,4,19,2,0.42727075681635884,0.35,0.5203768209759742,0.4258823529411765
spectrometer,4,19,3,0.4318296341249419,0.3388888888888889,0.5558379368852533,0.6305882352941177
spectrometer,4,19,4,0.4291339174965257,0.38333333333333336,0.5386106821785727,0.6164705882352941
spectrometer,5,20,0,0.4083197000917423,0.35,0.5472526877960803,0.6084905660377359
spectrometer,5,20,1,0.4162912035354335,0.28888888888888886,0.5694285040739193,0.6235294117647059
spectrometer,5,20,2,0.4284267191126209,0.3611111111111111,0.5169585219556324,0.6141176470588235
spectrometer,5,20,3,0.44423011621155906,0.3888888888888889,0.5660774665791806,0.6258823529411764
spectrometer,5,20,4,0.4352728341340514,0.3388888888888889,0.5163677732056369,0.4258823529411765
spectrometer,6,23,0,0.4179315628017865,0.35,0.5280431636855707,0.6108490566037735
spectrometer,6,23,1,0.4236322096647579,0.34444444444444444,0.5286320591084777,0.4235294117647059
spectrometer,6,23,2,0.4312005347709816,0.3611111111111111,0.5665015539825082,0.6352941176470588
