dataset,rel_rs,rs,fold,N1,N2,F1,F2
wine_quality,0,0,0,0.5566776906194925,0.8246376811594203,0.7735574547713453,0.9700126262626263
wine_quality,0,0,1,0.5591918752127923,0.8546762589928057,0.8080877471769606,0.9668665194067529
wine_quality,0,0,2,0.556209225677589,0.837410071942446,0.7865163374504109,0.9463553171347429
wine_quality,0,0,3,0.5605131169397654,0.8536231884057971,0.8012054740099706,0.9709687598611549
wine_quality,0,0,4,0.5608912088728373,0.8246376811594203,0.8061700186516491,0.9656042915746292
wine_quality,1,1,0,0.5603683302868504,0.8521739130434782,0.8036563761454565,0.9463383838383839
wine_quality,1,1,1,0.5580586827345355,0.8316546762589928,0.7911002661950535,0.9637109498264437
wine_quality,1,1,2,0.5585356476931862,0.823021582733813,0.7794353709102866,0.9690754181129694
wine_quality,1,1,3,0.5571552986701119,0.8304347826086956,0.8099295307640544,0.9656042915746292
wine_quality,1,1,4,0.554512143077542,0.8347826086956521,0.7901758338775537,0.9690754181129694
wine_quality,2,4,0,0.5599050423527351,0.8289855072463768,0.7850259237270703,0.9646464646464646
wine_quality,2,4,1,0.5570910863357532,0.8330935251798561,0.7757876774009665,0.9722309876932786
wine_quality,2,4,2,0.5567273425527937,0.8359712230215828,0.8068493454086666,0.9435153045124645
wine_quality,2,4,3,0.5552739440774355,0.8376811594202899,0.7921389724466409,0.9618176080782581
wine_quality,2,4,4,0.5607024115670464,0.8405797101449275,0.8144116855427158,0.9640265067844745
wine_quality,3,18,0,0.5576330679371916,0.8449275362318841,0.7961801606344415,0.9696969696969697
wine_quality,3,18,1,0.5683659928688775,0.8517985611510791,0.8068532390903012,0.9523508993373304
wine_quality,3,18,2,0.5554081014388397,0.837410071942446,0.7879750622056133,0.9725465446513095
wine_quality,3,18,3,0.5512046032696273,0.8202898550724638,0.7968160794805565,0.9450930893026191
wine_quality,3,18,4,0.5557363743286506,0.8231884057971014,0.7874386964256045,0.9656042915746292
wine_quality,4,19,0,0.5571237332395084,0.8188405797101449,0.7688770782998375,0.9684343434343434
wine_quality,4,19,1,0.560142849775689,0.8647482014388489,0.8224427553724765,0.9406752918901862
wine_quality,4,19,2,0.5596212258418247,0.8359712230215828,0.7860858851691006,0.936888608393815
wine_quality,4,19,3,0.5570154677476058,0.8333333333333334,0.8324920967893302,0.9715998737772168
wine_quality,4,19,4,0.5544182979418332,0.8231884057971014,0.7628086357447459,0.9605553802461344
wine_quality,5,20,0,0.5586988190533008,0.8347826086956521,0.8102415079538278,0.9678030303030303
wine_quality,5,20,1,0.5576729239603181,0.8201438848920863,0.7982690291965128,0.9476175449668666
wine_quality,5,20,2,0.5574931480227182,0.8359712230215828,0.7885326943930564,0.9697065320290312
wine_quality,5,20,3,0.5619712754453963,0.8492753623188406,0.8013649902989974,0.9649731776585674
wine_quality,5,20,4,0.5529850998239755,0.8173913043478261,0.7760986138294469,0.9589775954559798
wine_quality,6,23,0,0.5546683363859873,0.827536231884058,0.8047755882021661,0.9709595959595959
wine_quality,6,23,1,0.5517455140332097,0.8215827338129497,0.7789215719975414,0.9719154307352477
wine_quality,6,23,2,0.5632158270085376,0.8503597122302158,0.7825618798975141,0.9656042915746292
wine_quality,6,23,3,0.5578489005537317,0.8246376811594203,0.802728222086615,0.9668665194067529
wine_quality,6,23,4,0.5622606900269516,0.8492753623188406,0.8065078081673724,0.9353108236036605
wine_quality,7,26,0,0.556313987649025,0.8420289855072464,0.8001999573780916,0.9643308080808081
wine_quality,7,26,1,0.5603850001402984,0.841726618705036,0.8098305533350316,0.9605553802461344
wine_quality,7,26,2,0.5579985042008793,0.8431654676258993,0.7891517628762336,0.9479331019248974
wine_quality,7,26,3,0.5595669025272703,0.8304347826086956,0.783708178426787,0.9715998737772168
wine_quality,7,26,4,0.5541488431471475,0.8130434782608695,0.7923074971626376,0.9621331650362891
wine_quality,8,30,0,0.5578296441306957,0.8333333333333334,0.7684492164182105,0.9703282828282829
wine_quality,8,30,1,0.558975397129229,0.8172661870503597,0.7777620452769628,0.945724203218681
wine_quality,8,30,2,0.5555127001477569,0.8359712230215828,0.7706301445104399,0.9715998737772168
wine_quality,8,30,3,0.563278085110048,0.8565217391304348,0.8367843683877604,0.958030924581887
wine_quality,8,30,4,0.5578514463954443,0.8449275362318841,0.8211707923602442,0.9375197223098769
wine_quality,9,31,0,0.5573309549227122,0.8333333333333334,0.8262097085607988,0.9450757575757576
