dataset,rel_rs,rs,fold,N1,N2,F1,F2
yeast_me2,0,0,0,0.5792261914464356,0.751219512195122,0.4449348446629924,0.8657487091222031
yeast_me2,0,0,1,0.5629975328539216,0.7658536585365854,0.4854249193911431,0.8717728055077453
yeast_me2,0,0,2,0.5778003446923158,0.735,0.3899751112425958,0.9061962134251291
yeast_me2,0,0,3,0.5886209304691574,0.7804878048780488,0.47544889774738575,0.9114359415305245
yeast_me2,0,0,4,0.585684695398109,0.775609756097561,0.42448626358295705,0.8667239896818573
yeast_me2,1,1,0,0.585626066395482,0.7609756097560976,0.44962823539958385,0.9070567986230637
yeast_me2,1,1,1,0.5856685879278662,0.7463414634146341,0.47076548872844565,0.6540447504302926
yeast_me2,1,1,2,0.5879668764919964,0.805,0.4190577708677558,0.8588640275387264
yeast_me2,1,1,3,0.541850045393622,0.6829268292682927,0.37830920787553535,0.9062768701633706
yeast_me2,1,1,4,0.5859822119393456,0.8,0.5040295429440126,0.8607050730868444
yeast_me2,2,4,0,0.5867222516785802,0.8097560975609757,0.5007893386459433,0.9061962134251291
yeast_me2,2,4,1,0.5782838942303441,0.7609756097560976,0.4254389581160905,0.9001721170395869
yeast_me2,2,4,2,0.5833600864910047,0.76,0.43285742459209553,0.8623063683304647
yeast_me2,2,4,3,0.5672985703986717,0.7707317073170732,0.4339542459954777,0.8916595012897678
yeast_me2,2,4,4,0.5797498488706588,0.7268292682926829,0.4287964748138729,0.8607050730868444
yeast_me2,3,18,0,0.590810560084159,0.8097560975609757,0.46320196281981985,0.9113597246127366
yeast_me2,3,18,1,0.5810282842449035,0.7268292682926829,0.42117474001320054,0.9061962134251291
yeast_me2,3,18,2,0.5729984727071027,0.71,0.4410527277943787,0.8407917383820999
yeast_me2,3,18,3,0.5622883802638784,0.7804878048780488,0.44477654823146984,0.8650042992261393
yeast_me2,3,18,4,0.5828209670876551,0.7707317073170732,0.4516782951176498,0.8693035253654342
yeast_me2,4,19,0,0.5747310168873762,0.7170731707317073,0.37225195986295617,0.8493975903614458
yeast_me2,4,19,1,0.584601611344507,0.751219512195122,0.4394967911608021,0.8605851979345955
yeast_me2,4,19,2,0.5628302363598235,0.76,0.473882817737652,0.9079173838209983
yeast_me2,4,19,3,0.5904611811408069,0.8146341463414634,0.4570985835160376,0.8770421324161651
yeast_me2,4,19,4,0.5842256735025351,0.7560975609756098,0.4798384142342565,0.9071367153912295
yeast_me2,5,20,0,0.5540091359468882,0.7609756097560976,0.4569916392421659,0.9070567986230637
yeast_me2,5,20,1,0.579498170760315,0.7365853658536585,0.416567745700336,0.7874354561101549
yeast_me2,5,20,2,0.5853160211886699,0.8,0.402224294831979,0.9070567986230637
yeast_me2,5,20,3,0.5756145758207456,0.7170731707317073,0.4239254840608695,0.8675838349097162
yeast_me2,5,20,4,0.599032495797061,0.824390243902439,0.5226182954408412,0.8693035253654342
yeast_me2,6,23,0,0.5725640808070124,0.7121951219512195,0.4754241574054627,0.9104991394148021
yeast_me2,6,23,1,0.5538517798309258,0.7219512195121951,0.4677995666950446,0.9113597246127366
yeast_me2,6,23,2,0.5806570151657143,0.785,0.44950687996768324,0.8993115318416524
yeast_me2,6,23,3,0.5796898027238456,0.7414634146341463,0.3504298066897832,0.7678417884780739
yeast_me2,6,23,4,0.5918774572979771,0.8097560975609757,0.47546139064539406,0.8658641444539983
yeast_me2,7,26,0,0.5838415995155728,0.751219512195122,0.4403956688852423,0.9053356282271945
yeast_me2,7,26,1,0.558347171787449,0.7317073170731707,0.47107755178143984,0.8734939759036144
yeast_me2,7,26,2,0.5806576781338362,0.805,0.4551459661291568,0.9036144578313253
yeast_me2,7,26,3,0.5722327823074438,0.7414634146341463,0.43902019043152535,0.9079965606190885
yeast_me2,7,26,4,0.5866898661337794,0.7268292682926829,0.4159225086220814,0.8538263112639725
yeast_me2,8,30,0,0.5854136651156261,0.7365853658536585,0.42740760576570624,0.8760757314974182
yeast_me2,8,30,1,0.5745635788429607,0.7414634146341463,0.4572109034009672,0.9079173838209983
yeast_me2,8,30,2,0.5933133946286326,0.8,0.4950345558146896,0.8700516351118761
yeast_me2,8,30,3,0.5666001350563592,0.7853658536585366,0.4394294936808639,0.9054170249355116
yeast_me2,8,30,4,0.5753924269442012,0.751219512195122,0.40444650540055427,0.8632846087704213
yeast_me2,9,31,0,0.589220030221416,0.7658536585365854,0.4250512046182275,0.8760757314974182
yeast_me2,9,31,1,0.5821170947605955,0.7707317073170732,0.46879155750601903,0.9087779690189329
yeast_me2,9,31,2,0.5807254245396718,0.755,0.4257521342921798,0.8924268502581756
yeast_me2,9,31,3,0.582509534457417,0.751219512195122,0.4422294128708831,0.8589853826311264
yeast_me2,9,31,4,0.561052324956845,0.751219512195122,0.45957320633148424,0.8727429062768701
yeast_me2,10,32,0,0.5877431284227949,0.8048780487804879,0.4492143916208891,0.8726333907056799
yeast_me2,10,32,1,0.5546060630338195,0.7414634146341463,0.3924783489625628,0.8407917383820999
yeast_me2,10,32,2,0.5835014021816817,0.735,0.453738026271865,0.9122203098106713
yeast_me2,10,32,3,0.5829469372123902,0.7707317073170732,0.48110073690386423,0.9045571797076526
